City,Date,Card Type,Exp Type,Gender,Amount,Year,Month,Day,Weekday
"Delhi, India",26-05-2015,Silver,Entertainment,Female,41161,2015,5,26,Tuesday
"Ahmedabad, India",26-05-2015,Platinum,Femaleood,Female,204598,2015,5,26,Tuesday
"Bengaluru, India",26-05-2015,Platinum,Femaleood,M,223595,2015,5,26,Tuesday
"Bengaluru, India",26-05-2015,Silver,Femaleuel,Female,156063,2015,5,26,Tuesday
"Bengaluru, India",26-05-2015,Gold,Grocery,M,29685,2015,5,26,Tuesday
"Greater Mumbai, India",26-05-2015,Gold,Femaleood,Female,112158,2015,5,26,Tuesday
"Ahmedabad, India",26-05-2015,Silver,Grocery,M,210509,2015,5,26,Tuesday
"Bengaluru, India",26-05-2015,Platinum,Grocery,M,16981,2015,5,26,Tuesday
"Greater Mumbai, India",26-05-2015,Signature,Entertainment,Female,28616,2015,5,26,Tuesday
"Bengaluru, India",26-05-2015,Signature,Femaleood,M,268608,2015,5,26,Tuesday
"Delhi, India",26-05-2015,Platinum,Femaleood,M,299056,2015,5,26,Tuesday
"Bengaluru, India",26-05-2015,Signature,Bills,M,52986,2015,5,26,Tuesday
"Delhi, India",26-05-2015,Platinum,Femaleuel,Female,186122,2015,5,26,Tuesday
"Ahmedabad, India",26-05-2015,Platinum,Grocery,Female,269998,2015,5,26,Tuesday
"Ahmedabad, India",26-05-2015,Signature,Femaleuel,Female,281436,2015,5,26,Tuesday
"Delhi, India",26-05-2015,Platinum,Bills,Female,5133,2015,5,26,Tuesday
"Delhi, India",26-05-2015,Platinum,Entertainment,Female,200932,2015,5,26,Tuesday
"Greater Mumbai, India",26-05-2015,Platinum,Femaleood,M,293134,2015,5,26,Tuesday
"Greater Mumbai, India",26-05-2015,Silver,Entertainment,M,180339,2015,5,26,Tuesday
"Greater Mumbai, India",26-05-2015,Signature,Grocery,Female,226792,2015,5,26,Tuesday
"Bengaluru, India",26-05-2015,Gold,Femaleuel,M,12590,2015,5,26,Tuesday
"Ahmedabad, India",26-05-2015,Platinum,Femaleuel,M,281054,2015,5,26,Tuesday
"Delhi, India",26-05-2015,Gold,Entertainment,M,63264,2015,5,26,Tuesday
"Bengaluru, India",26-05-2015,Gold,Femaleuel,Female,166997,2015,5,26,Tuesday
"Ahmedabad, India",26-05-2015,Silver,Grocery,Female,296653,2015,5,26,Tuesday
"Delhi, India",26-05-2015,Signature,Grocery,Female,33068,2015,5,26,Tuesday
"Delhi, India",26-05-2015,Platinum,Entertainment,Female,245806,2015,5,26,Tuesday
"Khair, India",26-05-2015,Platinum,Grocery,M,247887,2015,5,26,Tuesday
"Washim, India",26-05-2015,Signature,Femaleuel,Female,223068,2015,5,26,Tuesday
"Sirohi, India",26-05-2015,Platinum,Femaleood,Female,5111,2015,5,26,Tuesday
"Amalner, India",26-05-2015,Signature,Entertainment,Female,280729,2015,5,26,Tuesday
"Jaipur, India",26-05-2015,Platinum,Entertainment,Female,177359,2015,5,26,Tuesday
"Hyderabad, India",26-05-2015,Gold,Grocery,Female,176677,2015,5,26,Tuesday
"Jaipur, India",26-05-2015,Signature,Entertainment,M,236357,2015,5,26,Tuesday
"Hyderabad, India",26-05-2015,Platinum,Entertainment,M,171338,2015,5,26,Tuesday
"Kolkata, India",26-05-2015,Platinum,Entertainment,M,69660,2015,5,26,Tuesday
"Surat, India",26-05-2015,Signature,Entertainment,Female,178800,2015,5,26,Tuesday
"Lucknow, India",26-05-2015,Signature,Bills,Female,238976,2015,5,26,Tuesday
